alimento,porcao,calcioMg
"Cálcio","500 mg","500"
"Leite","200 mL","240"
"Milkshake","300 mL","360"
"Leite de Cabra","200 mL","380"
"Leite de Coco","200 mL","54"
"Leite de Soja (enriquecido)","200 mL","240"
"Leite de Soja","200 mL","26"
"Leite de Arroz","200 mL","22"
"Leite de Aveia","200 mL","16"
"Leite de Amêndoa","200 mL","90"
"Iogurte com sabor","150 g","197"
"Iogurte com pedaços de frutas","150 g","169"
"Iogurte natural","150 g","207"
"Queijo firme (ex. Minas, Prato, Parmesão)","30 g","240"
"Queijo macio (ex. Camembert, Brie)","60 g","240"
"Queijo Feta","60 g","270"
"Mussarela","60 g","242"
"Queijo fresco (ex. cottage, ricota, frescal)","200 g","138"
"Queijo cremoso (ex. requeijão, cream cheese)","30 g","180"
"Creme de leite batido","30 mL","21"
"Creme de leite integral","30 mL","21"
"Pavê de Leite, Baunilha","120 g","111"
"Sorvete de Baunilha","100 g","124"
"Pudim","120 g","120"
"Pudim de Arroz","200 g","210"
"Panqueca","80 g","62"
"Cheese cake","200 g","130"
"Waffle","80 g","47"
"Ovo","50 g","27"
"Carne Vermelha","120 g","7"
"Frango","120 g","17"
"Peixe (ex. Bacalhau, Truta, Arenque, Pescada, Tainha)","120 g","20"
"Atum (enlatado)","120 g","34"
"Sardinhas em óleo (enlatadas)","60 g","240"
"Salmão Defumado","60 g","9"
"Camarão","150 g","45"
"Lentilhas","80 g cru, 200 g cozida","40"
"Grão de Bico","80 g cru, 200 g cozido","99"
"Feijão Branco","80 g cru, 200 g cozido","132"
"Feijões (ex. Preto e Carioquinha)","80 g cru, 200 g cozido","93"
"Massa (cozida)","180 g","26"
"Arroz (cozido)","180 g","4"
"Batatas (cozidas)","240 g","14"
"Pão Branco (1 fatia)","40 g","6"
"Pão Integral (1 fatia)","40 g","12"
"Cereais","50 g","21"
"Pão Sírio","60 g","48"
"Laranja","150 g","60"
"Maçã","120 g","6"
"Banana","150 g","12"
"Damasco (3 unidades)","120 g","19"
"Groselha (fruta)","120 g","72"
"Figo desidratado","60 g","96"
"Passas","40 g","31"
"Alface","50 g","19"
"Couve","50 g cru","32"
"Couve flor","50 g cru","20"
"Brocólis","120 g cru","112"
"Quiabo","120 g cru","77"
"Agrião","120 g","188"
"Ruibarbo","120 g cru","103"
"Cenoura","120 g cru","36"
"Tomate","120 g cru","11"
"Amêndoa","30 g","75"
"Nozes","30 g","28"
"Avelãs","30 g","56"
"Castanha-do-Pará","30 g","53"
"Gergelim","15 g","22"
"Pasta de Grão de Bico","30 g","42"
"Quiche (queijo, ovo)","200 g","212"
"Omelete com queijo","120 g","235"
"Massa com queijo","330 g","445"
"Pizza","300 g","378"
"Lasanha","300 g","228"
"Cheeseburger","200 g","183"
"Tofu","120 g","126"
"Algas Marinhas","100 g","70"
"Wakame","100 g","150"
